Course_ID,Grade,Course_Name,Modules,Content_ID,Lessons
1,10,Foundations of Mathematics and Pre-Calculus 10,"Operations on powers with integral exponents ",1,positive and negative exponents
1,10,Foundations of Mathematics and Pre-Calculus 10,"Operations on powers with integral exponents ",1,exponent laws
1,10,Foundations of Mathematics and Pre-Calculus 10,"Operations on powers with integral exponents ",1,evaluation using order of operation
1,10,Foundations of Mathematics and Pre-Calculus 10,"Operations on powers with integral exponents ",1,numerical and variable bases
1,10,Foundations of Mathematics and Pre-Calculus 10,"Prime factorization ",2,expressing prime factorization of a number using powers
1,10,Foundations of Mathematics and Pre-Calculus 10,"Prime factorization ",2,identifying the factors of a number
1,10,Foundations of Mathematics and Pre-Calculus 10,"Prime factorization ",2,greatest common factor (GCF) and least common multiple (LCM)
1,10,Foundations of Mathematics and Pre-Calculus 10,"Prime factorization ",2,strategies include using factor trees and factor pairs
1,10,Foundations of Mathematics and Pre-Calculus 10,"Functions and relations: connecting data, graphs, and situations ",3,communicating domain and range in both situational and non-situational contexts
1,10,Foundations of Mathematics and Pre-Calculus 10,"Functions and relations: connecting data, graphs, and situations ",3,connecting graphs and context
1,10,Foundations of Mathematics and Pre-Calculus 10,"Functions and relations: connecting data, graphs, and situations ",3,understanding the meaning of a function
1,10,Foundations of Mathematics and Pre-Calculus 10,"Functions and relations: connecting data, graphs, and situations ",3,identifying whether a relation is a function
1,10,Foundations of Mathematics and Pre-Calculus 10,"Functions and relations: connecting data, graphs, and situations ",3,using function notation
1,10,Foundations of Mathematics and Pre-Calculus 10,Linear functions: slope and equations of lines,4,"slope: positive, negative, zero, and undefined"
1,10,Foundations of Mathematics and Pre-Calculus 10,Linear functions: slope and equations of lines,4,"types of equations of lines (point-slope, slope intercept, and general)"
1,10,Foundations of Mathematics and Pre-Calculus 10,Linear functions: slope and equations of lines,4,equations of parallel and perpendicular lines
1,10,Foundations of Mathematics and Pre-Calculus 10,Linear functions: slope and equations of lines,4,equations of horizontal and vertical lines
1,10,Foundations of Mathematics and Pre-Calculus 10,Linear functions: slope and equations of lines,4,"connections between representations: graphs, tables, equations"
1,10,Foundations of Mathematics and Pre-Calculus 10,Arithmetic sequences,5,"applying formal language (common difference, first term, general term) to increasing and decreasing linear patterns"
1,10,Foundations of Mathematics and Pre-Calculus 10,Arithmetic sequences,5,connecting to linear relations
1,10,Foundations of Mathematics and Pre-Calculus 10,Arithmetic sequences,5,extension: exploring arithmetic series
1,10,Foundations of Mathematics and Pre-Calculus 10,Systems of linear equations,6,solving graphically
1,10,Foundations of Mathematics and Pre-Calculus 10,Systems of linear equations,6,"solving algebraically by inspection, substitution, elimination"
